surveyID	surveyTargetValue	surveyTargetValueIRI	surveyTargetType	includeOrExclude	surveyTargetValueVocabulary	isSurveyTargetFullyReported
BROKE_WEST_RMT_015_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_015_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_015_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_015_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_016_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_016_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_016_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_016_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_016_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_016_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_017_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_017_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_017_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_017_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_017_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_017_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_018_S	Artedidraconidae	urn:lsid:marinespecies.org:taxname:151398	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_018_S	Channichthyidae	urn:lsid:marinespecies.org:taxname:234518	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_018_S	Macrouridae	urn:lsid:marinespecies.org:taxname:125471	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_018_S	Myctophidae	urn:lsid:marinespecies.org:taxname:125498	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_018_S	Nototheniidae	urn:lsid:marinespecies.org:taxname:151404	taxon	include	marinespecies.org	true
BROKE_WEST_RMT_018_S	Paralepididae	urn:lsid:marinespecies.org:taxname:125447	taxon	include	marinespecies.org	true
