occurrenceID	verbatimIdentification	organismQuantity	organismQuantityType	lifeStage	eventID	taxonID	taxonRank	kingdom	surveyTargetID	scientificName	occurrenceStatus	recordedBy	recordedByID	identifiedBy	identifiedByID
BROKE_WEST_RMT_107_RMT8_BROKE_WEST_RMT_107_RMT8_234730	Pogonophryne marmorata	1	individuals		BROKE_WEST_RMT_107_RMT8	urn:lsid:marinespecies.org:taxname:234730	Species	Animalia	BROKE_WEST_RMT_107_RMT8_234730	Pogonophryne marmorata	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_107_RMT8_BROKE_WEST_RMT_107_RMT8_234799	Racovitzia glacialis	1	individuals		BROKE_WEST_RMT_107_RMT8	urn:lsid:marinespecies.org:taxname:234799	Species	Animalia	BROKE_WEST_RMT_107_RMT8_234799	Racovitzia glacialis	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_107_RMT8_BROKE_WEST_RMT_107_RMT8_234582	Chionodraco sp.	4	individuals		BROKE_WEST_RMT_107_RMT8	urn:lsid:marinespecies.org:taxname:234582	Genus	Animalia	BROKE_WEST_RMT_107_RMT8_234582	Chionodraco	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_107_RMT8_BROKE_WEST_RMT_107_RMT8_1621601	Pagetopsis maculatus	2	individuals		BROKE_WEST_RMT_107_RMT8	urn:lsid:marinespecies.org:taxname:1621601	Species	Animalia	BROKE_WEST_RMT_107_RMT8_1621601	Pagetopsis maculatus	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_107_RMT8_BROKE_WEST_RMT_107_RMT8_234721	Pleuragramma antarcticum	1	individuals		BROKE_WEST_RMT_107_RMT8	urn:lsid:marinespecies.org:taxname:234721	Species	Animalia	BROKE_WEST_RMT_107_RMT8_234721	Pleuragramma antarcticum	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_108_RMT8_BROKE_WEST_RMT_108_RMT8_234566	Trematomus sp.	1	individuals		BROKE_WEST_RMT_108_RMT8	urn:lsid:marinespecies.org:taxname:234566	Genus	Animalia	BROKE_WEST_RMT_108_RMT8_234566	Trematomus	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_109_RMT8_BROKE_WEST_RMT_109_RMT8_234582	Chionodraco sp.	1	individuals		BROKE_WEST_RMT_109_RMT8	urn:lsid:marinespecies.org:taxname:234582	Genus	Animalia	BROKE_WEST_RMT_109_RMT8_234582	Chionodraco	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_109_RMT8_BROKE_WEST_RMT_109_RMT8_234720	Cryodraco antarcticus	1	individuals		BROKE_WEST_RMT_109_RMT8	urn:lsid:marinespecies.org:taxname:234720	Species	Animalia	BROKE_WEST_RMT_109_RMT8_234720	Cryodraco antarcticus	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_111_RMT8_BROKE_WEST_RMT_111_RMT8_234695	Notolepis coatsi	1	individuals		BROKE_WEST_RMT_111_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_111_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_111_RMT8_BROKE_WEST_RMT_111_RMT8_234720	Cryodraco antarcticus	1	individuals		BROKE_WEST_RMT_111_RMT8	urn:lsid:marinespecies.org:taxname:234720	Species	Animalia	BROKE_WEST_RMT_111_RMT8_234720	Cryodraco antarcticus	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_113_RMT8_BROKE_WEST_RMT_113_RMT8_234695	Notolepis coatsi	3	individuals		BROKE_WEST_RMT_113_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_113_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_118_RMT8_BROKE_WEST_RMT_118_RMT8_234695	Notolepis coatsi	1	individuals		BROKE_WEST_RMT_118_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_118_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_125_RMT8_BROKE_WEST_RMT_125_RMT8_1621601	Pagetopsis maculatus	1	individuals		BROKE_WEST_RMT_125_RMT8	urn:lsid:marinespecies.org:taxname:1621601	Species	Animalia	BROKE_WEST_RMT_125_RMT8_1621601	Pagetopsis maculatus	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
